,Unnamed: 0,time,La,Lo,Dep,Mw,Reloc
0,0,2020-10-30 11:58:07.250,37.955399,26.9487,18.41,5.25096841639,0
1,1,2020-10-30 12:17:22.050,37.708698,26.388,17.24,4.61718817039,0
2,2,2020-10-30 12:19:10.790,37.779517,26.451927,12.423,4.8084353503,1
3,3,2020-10-30 12:22:51.040,37.9632,26.9095,14.35,4.53074616898,0
4,4,2020-10-30 12:29:13.430,38.043999,27.017799,10.66,4.40865029621,0
5,5,2020-10-30 12:29:49.920,37.924919,26.930711,13.217,4.79549827132,1
6,6,2020-10-30 12:44:59.490,37.769971,26.451912,11.373,4.28381784905,1
7,7,2020-10-30 12:51:14.990,37.827938,26.309658,18.38,4.09082868447,1
8,8,2020-10-30 12:56:33.670,37.892899,26.8964,17.62,4.03865684348,0
9,9,2020-10-30 12:58:39.500,38.0522,26.9795,13.87,3.99362268695,0
10,10,2020-10-30 13:00:44.950,37.908244,26.835415,18.308,5.33767078988,1
11,11,2020-10-30 13:06:58.470,37.899174,26.98313,15.221,4.83464948147,1
12,12,2020-10-30 13:12:32.360,37.910701,26.853613,13.19,4.49160950427,1
13,13,2020-10-30 13:14:48.010,37.839258,26.804665,13.353,4.8917043945,1
14,14,2020-10-30 13:22:25.330,37.8503,26.189501,42.31,4.25381596145,0
15,15,2020-10-30 13:27:12.180,37.901624,26.805302,13.204,4.44929609602,1
16,16,2020-10-30 13:31:11.440,37.853426,26.830054,14.031,4.02190471379,1
17,17,2020-10-30 13:34:01.110,37.911613,26.824898,12.663,3.94575882337,1
18,18,2020-10-30 13:44:47.290,37.834999,27.0303,18.66,4.2456230057,0
19,19,2020-10-30 13:50:04.250,37.862499,26.4245,17.57,4.47139791404,0
20,20,2020-10-30 13:56:00.640,37.897099,26.8267,27.39,4.51787140733,0
21,21,2020-10-30 14:00:05.910,37.780899,26.2292,16.99,4.18936327029,0
22,22,2020-10-30 14:01:06.200,37.84587,26.759106,12.069,4.59782415542,1
