,time,La,Lo,Dep,Mw,Location
0,2020-10-30 11:51:28.610,37.8759,26.7235,11.0,6.7,25.9 km WNW of Samos
1,2020-10-30 12:19:10.680,37.7682,26.4601,8.0,3.9,33.0 km NE of Ikaria
2,2020-10-30 13:00:44.980,37.8618,26.732,7.0,4.5,24.5 km WNW of Samos
3,2020-10-30 13:06:57.970,37.8454,27.0398,2.0,4.3,11.3 km NNE of Samos
4,2020-10-30 13:12:31.230,37.8927,26.9243,3.0,3.8,15.8 km NNW of Samos
5,2020-10-30 13:22:21.160,37.7664,26.4162,2.0,3.6,29.9 km NE of Ikaria
6,2020-10-30 13:50:05.580,37.8642,26.4645,1.0,4.0,40.8 km NE of Ikaria
7,2020-10-30 14:00:04.820,37.8155,26.3925,28.0,3.4,32.6 km NE of Ikaria
8,2020-10-30 14:46:05.080,37.8314,26.7925,7.0,3.9,18.2 km WNW of Samos
9,2020-10-30 14:54:10.860,37.8505,26.8093,5.0,3.6,18.0 km NW of Samos
10,2020-10-30 15:14:57.860,37.8507,26.8522,19.0,5.0,15.1 km NW of Samos
11,2020-10-30 15:19:18.730,37.7941,26.7457,17.0,4.4,20.7 km WNW of Samos
12,2020-10-30 15:24:36.090,37.845,26.7553,10.0,3.6,21.8 km WNW of Samos
13,2020-10-30 16:18:28.250,37.6173,27.114,9.0,4.0,19.7 km SE of Samos
14,2020-10-30 16:28:48.500,37.7804,26.7712,9.0,3.5,18.3 km W of Samos
15,2020-10-30 16:37:08.800,37.8059,26.4092,6.0,3.7,32.7 km NE of Ikaria
16,2020-10-30 16:40:18.830,37.8316,26.9703,3.0,3.8,8.3 km N of Samos
17,2020-10-30 17:16:04.800,37.7706,26.8808,14.0,3.8,8.6 km W of Samos
18,2020-10-30 17:47:08.970,37.8491,26.9833,4.0,3.5,10.2 km N of Samos
19,2020-10-30 18:16:10.880,37.8683,26.8063,19.0,3.5,19.4 km NW of Samos
20,2020-10-30 18:59:16.980,37.9383,26.3036,14.0,3.2,41.3 km NNE of Ikaria
21,2020-10-30 19:02:28.760,37.8885,26.523,3.0,4.0,42.5 km WNW of Samos
22,2020-10-30 19:08:57.040,37.8335,26.4267,4.0,4.1,36.0 km NE of Ikaria
23,2020-10-30 19:23:46.410,37.8413,26.8534,16.0,3.1,14.3 km NW of Samos
24,2020-10-30 19:32:20.700,37.8319,26.8452,6.0,3.3,14.2 km NW of Samos
25,2020-10-30 20:22:08.900,37.8213,26.4314,17.0,3.2,35.3 km NE of Ikaria
26,2020-10-30 20:24:47.140,37.7641,26.6869,12.0,3.2,25.5 km W of Samos
27,2020-10-30 20:35:25.180,37.8259,26.4804,16.0,4.0,38.6 km NE of Ikaria
28,2020-10-30 21:41:24.300,37.8887,26.7079,21.0,3.5,27.8 km WNW of Samos
29,2020-10-30 21:46:25.730,37.8387,26.7948,7.0,4.0,18.4 km WNW of Samos
30,2020-10-30 22:26:46.460,37.7784,26.8637,9.0,3.2,10.2 km WNW of Samos
31,2020-10-30 22:37:09.010,37.8056,26.837,10.0,3.7,13.4 km WNW of Samos
32,2020-10-30 22:51:31.120,37.8373,26.8114,8.0,3.5,17.1 km WNW of Samos
33,2020-10-30 22:53:21.190,37.8477,26.8105,4.0,3.9,17.7 km NW of Samos
34,2020-10-30 23:05:30.800,37.7965,26.8234,10.0,3.8,14.2 km WNW of Samos
35,2020-10-30 23:09:32.980,37.8836,26.9174,11.0,3.6,15.0 km NNW of Samos
36,2020-10-30 23:19:10.740,37.8634,26.5389,11.0,3.8,40.2 km WNW of Samos
37,2020-10-31 00:04:19.870,37.844,26.4098,2.0,3.4,36.0 km NE of Ikaria
38,2020-10-31 00:20:51.210,37.8219,26.9869,8.0,3.9,7.2 km N of Samos
39,2020-10-31 00:49:06.460,37.8393,26.4188,10.0,3.5,36.1 km NE of Ikaria
40,2020-10-31 00:52:59.190,37.8635,26.4842,10.0,3.4,41.8 km NE of Ikaria
41,2020-10-31 01:30:00.060,37.8466,26.383,10.0,3.2,34.9 km NNE of Ikaria
42,2020-10-31 01:32:30.390,37.8728,26.4723,9.0,3.5,41.9 km NE of Ikaria
43,2020-10-31 01:40:31.660,37.849,26.4536,7.0,4.0,38.9 km NE of Ikaria
44,2020-10-31 01:59:51.580,37.817,26.978,8.0,3.5,6.7 km N of Samos
45,2020-10-31 02:10:29.250,37.8242,26.8892,4.0,4.1,10.7 km NW of Samos
46,2020-10-31 02:29:43.220,37.8253,26.8511,17.0,3.0,13.4 km NW of Samos
47,2020-10-31 02:39:20.010,37.8777,26.4773,10.0,3.5,42.6 km NE of Ikaria
48,2020-10-31 03:07:23.080,37.7871,26.8077,10.0,3.3,15.2 km WNW of Samos
49,2020-10-31 03:25:32.100,37.8409,26.3733,8.0,3.2,33.9 km NNE of Ikaria
50,2020-10-31 03:30:57.770,37.8909,26.5836,4.0,2.9,37.6 km WNW of Samos
51,2020-10-31 04:12:56.310,37.8805,26.4181,11.0,3.8,39.8 km NNE of Ikaria
52,2020-10-31 04:28:15.410,37.7753,26.8883,11.0,3.3,8.0 km WNW of Samos
53,2020-10-31 05:22:16.480,37.8199,26.8083,7.0,3.5,16.4 km WNW of Samos
54,2020-10-31 05:31:30.880,37.8018,26.7376,9.0,4.7,21.6 km WNW of Samos
55,2020-10-31 05:50:09.790,37.8467,26.4556,6.0,3.1,38.8 km NE of Ikaria
56,2020-10-31 06:34:38.440,37.8431,26.9802,7.0,3.6,9.6 km N of Samos
57,2020-10-31 07:21:54.020,37.8358,26.9095,10.0,3.1,10.6 km NW of Samos
58,2020-10-31 07:29:44.690,37.9058,26.5276,8.0,3.5,42.8 km WNW of Samos
59,2020-10-31 08:36:38.140,37.8538,26.6836,6.0,3.4,27.9 km WNW of Samos
60,2020-10-31 08:41:51.270,37.8587,26.9457,7.0,3.8,11.6 km NNW of Samos
61,2020-10-31 08:46:59.250,37.8405,26.4593,7.0,3.9,38.5 km NE of Ikaria
62,2020-10-31 11:02:55.050,37.7911,26.8713,11.0,3.2,10.0 km WNW of Samos
63,2020-10-31 11:24:29.270,37.8047,26.8371,15.0,3.3,13.4 km WNW of Samos
64,2020-10-31 12:03:54.670,37.878,26.429,2.0,3.0,40.1 km NE of Ikaria
65,2020-10-31 12:36:20.130,37.8068,26.8633,10.0,3.9,11.4 km WNW of Samos
66,2020-10-31 12:47:31.850,37.8112,26.9097,7.0,3.2,8.4 km NW of Samos
67,2020-10-31 14:41:25.140,37.9736,26.4232,1.0,3.0,48.9 km NNE of Ikaria
68,2020-10-31 14:42:43.410,37.8699,26.4784,10.0,4.1,42.0 km NE of Ikaria
69,2020-10-31 14:53:06.290,37.8026,26.3808,3.0,3.0,30.8 km NE of Ikaria
70,2020-10-31 15:49:12.180,37.8854,26.4562,6.0,3.0,42.1 km NE of Ikaria
71,2020-10-31 16:06:13.580,37.8897,26.6692,8.0,3.6,30.8 km WNW of Samos
72,2020-10-31 17:45:11.090,37.8264,27.0513,2.0,3.6,10.1 km NE of Samos
73,2020-10-31 17:56:25.240,37.9312,26.545,2.0,3.2,42.6 km WNW of Samos
74,2020-10-31 19:04:40.390,37.849,26.9864,6.0,3.1,10.2 km N of Samos
75,2020-10-31 19:17:18.310,37.8656,26.4539,9.0,3.4,40.3 km NE of Ikaria
76,2020-10-31 19:31:30.960,37.7753,27.0427,5.0,3.7,6.1 km ENE of Samos
77,2020-10-31 19:49:07.960,37.7692,27.0387,5.0,3.5,5.6 km ENE of Samos
78,2020-10-31 20:07:04.390,37.8245,26.8302,5.0,3.0,14.9 km WNW of Samos
79,2020-10-31 20:10:10.430,37.7599,27.0023,4.0,3.5,2.3 km E of Samos
80,2020-10-31 20:12:47.810,37.701,26.8935,20.0,3.4,9.6 km SW of Samos
81,2020-10-31 20:28:16.910,37.8242,26.4107,3.0,3.0,34.3 km NE of Ikaria
82,2020-10-31 20:37:50.900,37.7592,27.0115,5.0,3.3,3.0 km E of Samos
83,2020-10-31 21:09:05.000,37.8752,26.238,24.0,2.8,33.1 km N of Ikaria
84,2020-10-31 21:40:57.520,37.8842,26.4432,14.0,3.0,41.4 km NE of Ikaria
85,2020-10-31 21:43:24.090,37.8013,26.678,6.0,3.0,26.7 km W of Samos
86,2020-10-31 22:01:10.890,37.8065,26.8321,15.0,3.2,13.9 km WNW of Samos
87,2020-10-31 22:05:43.050,37.8457,26.8705,10.0,3.5,13.6 km NW of Samos
88,2020-10-31 22:13:16.690,37.8602,26.8878,11.0,3.4,13.9 km NW of Samos
